code,state,total_cases,new_cases,total_deaths,new_deaths
OH,Ohio,231071984,1112499,4226380,16581
DE,Delaware,22882459,109891,417643,1687
WI,Wisconsin,155687669,678008,1745815,8144
WV,West Virginia,30821640,164149,543810,2716
ND,North Dakota,26054174,110751,359478,1528
NV,Nevada,74307056,334763,1257904,5697
MA,Massachusetts,151919814,708433,5350970,17998
NE,Nebraska,51810769,224873,524419,2262
AR,Arkansas,78103986,351825,1289777,5920
TN,Tennessee,195566768,868137,2747433,12576
UT,Utah,90372739,416110,487394,2368
TX,Texas,656481923,2925626,11964595,51349
GA,Georgia,256426249,1135526,4758078,21443
NJ,New Jersey,221795888,1033316,8298140,24653
PA,Pennsylvania,236548847,1213019,6541657,27707
SD,South Dakota,28920232,124582,439327,2038
AK,Alaska,13946875,68478,82802,370
CA,California,837321729,3713944,14129523,62992
LA,Louisiana,116303078,482096,3011832,10757
FL,Florida,507696018,2337613,8648907,37985
ME,Maine,11394994,69118,169462,860
RI,Rhode Island,32591078,152643,751479,2730
MT,Montana,24235408,113801,326191,1640
IN,Indiana,162752123,754724,3378244,13863
NY,New York,244466553,1158346,5685233,19936
WA,Washington,90484995,452483,1438584,5939
IA,Iowa,87668391,374207,1364784,6146
AL,Alabama,131406619,552325,2738028,11360
MD,Maryland,105259822,462681,2567685,9754
AZ,Arizona,199320446,897010,3998321,17979
OR,Oregon,40021643,209035,562229,2781
NC,North Carolina,215004888,1014359,3062861,13434
OK,Oklahoma,103367746,459524,1619302,7406
VT,Vermont,3745107,22841,57058,250
DC,District of Columbia,11699331,49336,339436,1141
CT,Connecticut,73469526,349476,2555165,8279
NM,New Mexico,44702572,205715,999916,4344
KS,Kansas,70720636,318515,1047405,5159
MS,Mississippi,77104046,321780,1991323,7332
HI,Hawaii,7732023,36062,110165,515
MN,Minnesota,128431143,604769,1813536,7565
SC,South Carolina,129977727,597868,2305862,9844
ID,Idaho,43683410,195172,466889,2158
MO,Missouri,138838317,624463,2230356,9340
VA,Virginia,144461289,681326,2418390,11434
NH,New Hampshire,18106231,99555,327148,1372
IL,Illinois,314457545,1392552,6539178,25696
CO,Colorado,110543453,558925,1673924,6817
MI,Michigan,214386719,1000375,5269498,20995
KY,Kentucky,97698311,465440,1630052,7229
WY,Wyoming,13013015,62445,145416,747
