State,Median income
United States,"68,703"
Alabama,"56,200"
Alaska,"78,394"
Arizona,"70,674"
Arkansas,"54,539"
California,"78,105"
Colorado,"72,499"
Connecticut,"87,291"
Delaware,"74,194"
District of Columbia,"93,111"
Florida,"58,368"
Georgia,"56,628"
Hawaii,"88,006"
Idaho,"65,988"
Illinois,"74,399"
Indiana,"66,693"
Iowa,"66,054"
Kansas,"73,151"
Kentucky,"55,662"
Louisiana,"51,707"
Maine,"66,546"
Maryland,"95,572"
Massachusetts,"87,707"
Michigan,"64,119"
Minnesota,"81,426"
Mississippi,"44,787"
Missouri,"60,597"
Montana,"60,195"
Nebraska,"73,071"
Nevada,"70,906"
New Hampshire,"86,900"
New Jersey,"87,726"
New Mexico,"53,113"
New York,"71,855"
North Carolina,"61,159"
North Dakota,"70,031"
Ohio,"64,663"
Oklahoma,"59,397"
Oregon,"74,413"
Pennsylvania,"70,582"
Rhode Island,"70,151"
South Carolina,"62,028"
South Dakota,"64,255"
Tennessee,"56,627"
Texas,"67,444"
Utah,"84,523"
Vermont,"74,305"
Virginia,"81,313"
Washington,"82,454"
West Virginia,"53,706"
Wisconsin,"67,355"
Wyoming,"65,134"
